player,team,league,position,draft_eligible,nation,pos_fac
John-Jason Peterka,Munchen,GER,F,Drafted,germany,1
Filip Reisnecker,Bremerhaven,GER,F,2021,germany,1
Joshua Samanski,Owen Sound,OHL,F,2021,germany,1
Jan-Luca Schumacher,Heilbronn,Germany 2nd division,F,2021,germany,1
Markus Schweiger,Kaufbeuren Jr.,Germany Jr. league,F,2021,germany,1
Tim Stutzle,Mannheim,GER,F,Drafted,germany,1
Justin Volek,Ravensburg,German 2nd division,F,2021,germany,1
Artur Akhtyamov,Irbis Kazan,Russia Jr. league,G,Drafted,russia,3
Yaroslav Askarov,SKA St. Petersburg,KHL,G,Drafted,russia,3
Vsevolod Skotnikov,Zvezda Moscow,Russia 2nd division,G,2021,russia,3
Roman Bychkov,Yaroslavl 2,Russia Jr. league,D,Drafted,russia,2
Daniil Chayka,Guelph,OHL,D,2021,russia,2
Semyon Chystyakov,Omsk,KHL,D,Drafted,russia,2
Kirill Kirsanov,SKA St. Petersburg,KHL,D,2021,russia,2
Artemi Kniazev,D,Bars Kazan,D,Drafted,russia,2
Yan Kuznetsov,UConn,H-EAST,D,Drafted,russia,2
Shakir Mukhamadullin,Ufa,KHL,D,Drafted,russia,2
Yegor Shekhovtsov,Neva St. Petersburg,Russia 2nd division,D,2021,russia,2
Mikhail Abramov,Victoriaville,QMJHL,F,Drafted,russia,1
Yegor Afanasyev,CSKA,KHL,F,Drafted,russia,1
Rodion Amirov,Ufa,KHL,F,Drafted,russia,1
Zakhar Bardakov,Podolsk,KHL,F,2021,russia,1
Danil Bashkirov,Ufa,KHL,F,2021,russia,1
Yegor Chinakhov,Omsk,KHL,F,Drafted,russia,1
Vladislav Firstov,UConn,H-EAST,F,Drafted,russia,1
Arseny Gritsyuk,Omsk,KHL,F,Drafted,russia,1
Maxim Groshev,SKA St. Petersburg,KHL,F,Drafted,russia,1
Marat Khusnutdinov,SKA St. Petersburg 2,Russia Jr. league,F,Drafted,russia,1
Vasily Podkolzin,SKA St. Petersburg,KHL,F,Drafted,russia,1
Vasiliy Ponomarev,Shawinigan,QMJHL,F,Drafted,russia,1
Ilya Safonov,Kazan,KHL,F,2021,russia,1
Yegor Spiridonov,SKA St. Petersburg 2,Russia Jr. league,F,Drafted,russia,1
Thibault Fatton,Lugano Jr.,Swiss Jr. league,G,2021,switzerland,3
Andri Henauer,Bern Jr.,Swiss Jr. league,G,2021,switzerland,3
Noah Patenaude,Saint John,QMJHL,G,2021,switzerland,3
Inaki Baragano,Lausanne Jr.,Swiss Jr. league,D,2021,switzerland,2
Giancarlo Chanton,Langenthal,Swiss 2nd division,D,2021,switzerland,2
Noah Delemont,Biel Jr.,Swiss Jr. league,D,2021,switzerland,2
Cedric Fiedler,Western Michigan,NCHC,D,2021,switzerland,2
Bastian Guggenheim,Langnau,National League,D,2021,switzerland,2
Noah Meier,GCK Zurich,Swiss 2nd division,D,2021,switzerland,2
Rocco Pezzullo,Ambri,National League,D,2021,switzerland,2
Alessandro Villa,Lugano Jr.,Swiss Jr. league,D,2021,switzerland,2
Nathan Vouardoux,Lausanne Jr.,Swiss Jr. league,D,2021,switzerland,2
Brian Zanetti,Peterborough,OHL,D,2021,switzerland,2
Dario Allenspach,Zug Academy,Swiss 2nd division,F,2021,switzerland,1
Jeremie Bartschi,Biel Jr.,Swiss Jr. league,F,2021,switzerland,1
Attilio Biasca,Halifax,QMJHL,F,2021,switzerland,1
Stefano Bottini,Penticton,BCHL,F,2021,switzerland,1
Mika Burkhalter,Winterthur,Swiss 2nd division,F,2021,switzerland,1
Lorenzo Canonica,Shawinigan,QMJHL,F,2021,switzerland,1
Ronny Dahler,Langenthal,Swiss 2nd division,F,2021,switzerland,1
Keanu Derungs,Zug Academy,Swiss 2nd division,F,2021,switzerland,1
Raymond Fust,Chilliwack,BCHL,F,2021,switzerland,1
Valentin Hofer,Zug Jr.,Swiss Jr. league,F,2021,switzerland,1
Gaetan Jobin,Fribourg,National League,F,2021,switzerland,1
Simon Knak,Portland,WHL,F,2021,switzerland,1
Lionel Marchand,Timra Jr.,Sweden Jr. league,F,2021,switzerland,1
Joel Salzgeber,Langnau Jr.,Swiss Jr. league,F,2021,switzerland,1
Elvis Schlapfer,Langenthal,Swiss 2nd division,F,2021,switzerland,1
Samuel Hlavaj,Sherbrooke,QMJHL,G,2021,slovakia,3
Patrik Kozel,L. Mikulas,Slovak Extraliga,G,2021,slovakia,3
Simon Latkoczy,Trencin Jr.,Slovakia Jr. league,G,2021,slovakia,3
Eugen Rabcan,Banska Bystrica,Slovak Extraliga,G,2021,slovakia,3
Simon Becar,Slovakia U18,Slovakia Jr. league,D,2021,slovakia,2
Andrej Golian,Tri-City,WHL,D,2021,slovakia,2
Simon Groch,Olomouc Jr. Czech Jr. league (2021 draft eligible),NHL,D,Drafted,slovakia,2
Matus Hlavac,Olomouc Jr.,Czech Jr. league,D,2021,slovakia,2
Samuel Knazko,TPS Jr.,Finland Jr. league,D,Drafted,slovakia,2
David Mudrak,Oshawa,OHL,D,2021,slovakia,2
Simon Nemec,Nitra,Slovak Extraliga,D,2022,slovakia,2
Rayen Petrovicky,Tuto Jr.,Finland Jr. league,D,2021,slovakia,2
Marko Stacha,Trencin Jr.,Slovakia Jr. league,D,2021,slovakia,2
Oliver Turan,Detva,Slovak Extraliga,D,2021,slovakia,2
Robert Baco,Karlovy Vary Jr.,Czech Jr. league,F,2021,slovakia,1
Martin Chromiak,Kingston,OHL,F,Drafted,slovakia,1
Michael Drabek,Liberec Jr.,Czech Jr. league,F,2021,slovakia,1
Juraj Elias,Kosice,Slovak Extraliga,F,2021,slovakia,1
Roman Faith,Bratislava,AUT,F,2021,slovakia,1
Maros Jedlicka,Zvolen,Slovak Extraliga,F,2021,slovakia,1
Simon Jellus,Karlskrona Jr.,Sweden Jr. league,F,2021,slovakia,1
Dominik Jendek,Sudbury,OHL,F,2021,slovakia,1
Matej Kaslik,Chicoutimi,QMJHL,F,2021,slovakia,1
Jakub Kolenic,Zvolen,Slovak Extraliga,F,2021,slovakia,1
Filip Mesar,Poprad,Slovak Extraliga,F,2022,slovakia,1
Michal Mrazik,Linkoping Jr.,Sweden Jr. league,F,2021,slovakia,1
Oleksiy Myklukha,Rouyn-Noranda,QMJHL,F,2021,slovakia,1
Juraj Slafkovsky,TPS Jr.,Finland Jr. league,F,2022,slovakia,1
Dominik Sojka,Banska Bystrica,Slovak Extraliga,F,2021,slovakia,1
Artur Turansky,Wilkes-Barre/Scranton,NAHL,F,2021,slovakia,1
Hugo Alnefelt,HV 71,SHL,G,Drafted,sweden,3
Calle Clang,Kristianstad,Sweden 2nd division,G,Drafted,sweden,3
Jesper Wallstedt,Lulea,SHL,G,2021,sweden,3
Emil Andrae,HV 71,SHL,D,Drafted,sweden,2
Gustav Berglund,Vasteras,Sweden 2nd division,D,Drafted,sweden,2
Tobias Bjornfot,Djurgarden,SHL,D,Drafted,sweden,2
